"","Statistic","Year","Road.User.Type","Sex","Age.Group","value"
"1800","All Killed and Injured Casualties (Number)","2016","Pedal cyclists","Female","6 - 9 years",2
"1801","Killed Casualties (Number)","2017","Pedal cyclists","Female","6 - 9 years",0
"1802","Injured Cassualties (Number)","2017","Pedal cyclists","Female","6 - 9 years",4
"1803","All Killed and Injured Casualties (Number)","2017","Pedal cyclists","Female","6 - 9 years",4
"1804","Killed Casualties (Number)","2018","Pedal cyclists","Female","6 - 9 years",0
"1805","Injured Cassualties (Number)","2018","Pedal cyclists","Female","6 - 9 years",4
"1806","All Killed and Injured Casualties (Number)","2018","Pedal cyclists","Female","6 - 9 years",4
"1807","Killed Casualties (Number)","2005","Motor cyclists","Female","6 - 9 years",0
"1808","Injured Cassualties (Number)","2005","Motor cyclists","Female","6 - 9 years",0
"1809","All Killed and Injured Casualties (Number)","2005","Motor cyclists","Female","6 - 9 years",0
"1810","Killed Casualties (Number)","2006","Motor cyclists","Female","6 - 9 years",0
"1811","Injured Cassualties (Number)","2006","Motor cyclists","Female","6 - 9 years",0
"1812","All Killed and Injured Casualties (Number)","2006","Motor cyclists","Female","6 - 9 years",0
"1813","Killed Casualties (Number)","2007","Motor cyclists","Female","6 - 9 years",0
"1814","Injured Cassualties (Number)","2007","Motor cyclists","Female","6 - 9 years",1
"1815","All Killed and Injured Casualties (Number)","2007","Motor cyclists","Female","6 - 9 years",1
"1816","Killed Casualties (Number)","2008","Motor cyclists","Female","6 - 9 years",0
"1817","Injured Cassualties (Number)","2008","Motor cyclists","Female","6 - 9 years",0
"1818","All Killed and Injured Casualties (Number)","2008","Motor cyclists","Female","6 - 9 years",0
"1819","Killed Casualties (Number)","2009","Motor cyclists","Female","6 - 9 years",0
"1820","Injured Cassualties (Number)","2009","Motor cyclists","Female","6 - 9 years",0
"1821","All Killed and Injured Casualties (Number)","2009","Motor cyclists","Female","6 - 9 years",0
"1822","Killed Casualties (Number)","2010","Motor cyclists","Female","6 - 9 years",0
"1823","Injured Cassualties (Number)","2010","Motor cyclists","Female","6 - 9 years",0
"1824","All Killed and Injured Casualties (Number)","2010","Motor cyclists","Female","6 - 9 years",0
"1825","Killed Casualties (Number)","2011","Motor cyclists","Female","6 - 9 years",0
"1826","Injured Cassualties (Number)","2011","Motor cyclists","Female","6 - 9 years",0
"1827","All Killed and Injured Casualties (Number)","2011","Motor cyclists","Female","6 - 9 years",0
"1828","Killed Casualties (Number)","2012","Motor cyclists","Female","6 - 9 years",0
"1829","Injured Cassualties (Number)","2012","Motor cyclists","Female","6 - 9 years",0
"1830","All Killed and Injured Casualties (Number)","2012","Motor cyclists","Female","6 - 9 years",0
"1831","Killed Casualties (Number)","2013","Motor cyclists","Female","6 - 9 years",0
"1832","Injured Cassualties (Number)","2013","Motor cyclists","Female","6 - 9 years",0
"1833","All Killed and Injured Casualties (Number)","2013","Motor cyclists","Female","6 - 9 years",0
"1834","Killed Casualties (Number)","2014","Motor cyclists","Female","6 - 9 years",0
"1835","Injured Cassualties (Number)","2014","Motor cyclists","Female","6 - 9 years",0
"1836","All Killed and Injured Casualties (Number)","2014","Motor cyclists","Female","6 - 9 years",0
"1837","Killed Casualties (Number)","2015","Motor cyclists","Female","6 - 9 years",0
"1838","Injured Cassualties (Number)","2015","Motor cyclists","Female","6 - 9 years",0
"1839","All Killed and Injured Casualties (Number)","2015","Motor cyclists","Female","6 - 9 years",0
"1840","Killed Casualties (Number)","2016","Motor cyclists","Female","6 - 9 years",0
"1841","Injured Cassualties (Number)","2016","Motor cyclists","Female","6 - 9 years",0
"1842","All Killed and Injured Casualties (Number)","2016","Motor cyclists","Female","6 - 9 years",0
"1843","Killed Casualties (Number)","2017","Motor cyclists","Female","6 - 9 years",0
"1844","Injured Cassualties (Number)","2017","Motor cyclists","Female","6 - 9 years",0
"1845","All Killed and Injured Casualties (Number)","2017","Motor cyclists","Female","6 - 9 years",0
"1846","Killed Casualties (Number)","2018","Motor cyclists","Female","6 - 9 years",0
"1847","Injured Cassualties (Number)","2018","Motor cyclists","Female","6 - 9 years",0
"1848","All Killed and Injured Casualties (Number)","2018","Motor cyclists","Female","6 - 9 years",0
"1849","Killed Casualties (Number)","2005","All Car users","Female","6 - 9 years",0
"1850","Injured Cassualties (Number)","2005","All Car users","Female","6 - 9 years",37
"1851","All Killed and Injured Casualties (Number)","2005","All Car users","Female","6 - 9 years",37
"1852","Killed Casualties (Number)","2006","All Car users","Female","6 - 9 years",1
"1853","Injured Cassualties (Number)","2006","All Car users","Female","6 - 9 years",41
"1854","All Killed and Injured Casualties (Number)","2006","All Car users","Female","6 - 9 years",42
"1855","Killed Casualties (Number)","2007","All Car users","Female","6 - 9 years",1
"1856","Injured Cassualties (Number)","2007","All Car users","Female","6 - 9 years",36
"1857","All Killed and Injured Casualties (Number)","2007","All Car users","Female","6 - 9 years",37
"1858","Killed Casualties (Number)","2008","All Car users","Female","6 - 9 years",1
"1859","Injured Cassualties (Number)","2008","All Car users","Female","6 - 9 years",55
"1860","All Killed and Injured Casualties (Number)","2008","All Car users","Female","6 - 9 years",56
"1861","Killed Casualties (Number)","2009","All Car users","Female","6 - 9 years",0
"1862","Injured Cassualties (Number)","2009","All Car users","Female","6 - 9 years",65
"1863","All Killed and Injured Casualties (Number)","2009","All Car users","Female","6 - 9 years",65
"1864","Killed Casualties (Number)","2010","All Car users","Female","6 - 9 years",0
"1865","Injured Cassualties (Number)","2010","All Car users","Female","6 - 9 years",51
"1866","All Killed and Injured Casualties (Number)","2010","All Car users","Female","6 - 9 years",51
"1867","Killed Casualties (Number)","2011","All Car users","Female","6 - 9 years",0
"1868","Injured Cassualties (Number)","2011","All Car users","Female","6 - 9 years",49
"1869","All Killed and Injured Casualties (Number)","2011","All Car users","Female","6 - 9 years",49
"1870","Killed Casualties (Number)","2012","All Car users","Female","6 - 9 years",0
"1871","Injured Cassualties (Number)","2012","All Car users","Female","6 - 9 years",48
"1872","All Killed and Injured Casualties (Number)","2012","All Car users","Female","6 - 9 years",48
"1873","Killed Casualties (Number)","2013","All Car users","Female","6 - 9 years",0
"1874","Injured Cassualties (Number)","2013","All Car users","Female","6 - 9 years",39
"1875","All Killed and Injured Casualties (Number)","2013","All Car users","Female","6 - 9 years",39
"1876","Killed Casualties (Number)","2014","All Car users","Female","6 - 9 years",1
"1877","Injured Cassualties (Number)","2014","All Car users","Female","6 - 9 years",53
"1878","All Killed and Injured Casualties (Number)","2014","All Car users","Female","6 - 9 years",54
"1879","Killed Casualties (Number)","2015","All Car users","Female","6 - 9 years",0
"1880","Injured Cassualties (Number)","2015","All Car users","Female","6 - 9 years",46
"1881","All Killed and Injured Casualties (Number)","2015","All Car users","Female","6 - 9 years",46
"1882","Killed Casualties (Number)","2016","All Car users","Female","6 - 9 years",0
"1883","Injured Cassualties (Number)","2016","All Car users","Female","6 - 9 years",44
"1884","All Killed and Injured Casualties (Number)","2016","All Car users","Female","6 - 9 years",44
"1885","Killed Casualties (Number)","2017","All Car users","Female","6 - 9 years",0
"1886","Injured Cassualties (Number)","2017","All Car users","Female","6 - 9 years",57
"1887","All Killed and Injured Casualties (Number)","2017","All Car users","Female","6 - 9 years",57
"1888","Killed Casualties (Number)","2018","All Car users","Female","6 - 9 years",0
"1889","Injured Cassualties (Number)","2018","All Car users","Female","6 - 9 years",52
"1890","All Killed and Injured Casualties (Number)","2018","All Car users","Female","6 - 9 years",52
"1891","Killed Casualties (Number)","2005","Car drivers","Female","6 - 9 years",0
"1892","Injured Cassualties (Number)","2005","Car drivers","Female","6 - 9 years",0
"1893","All Killed and Injured Casualties (Number)","2005","Car drivers","Female","6 - 9 years",0
"1894","Killed Casualties (Number)","2006","Car drivers","Female","6 - 9 years",0
"1895","Injured Cassualties (Number)","2006","Car drivers","Female","6 - 9 years",0
"1896","All Killed and Injured Casualties (Number)","2006","Car drivers","Female","6 - 9 years",0
"1897","Killed Casualties (Number)","2007","Car drivers","Female","6 - 9 years",0
"1898","Injured Cassualties (Number)","2007","Car drivers","Female","6 - 9 years",0
"1899","All Killed and Injured Casualties (Number)","2007","Car drivers","Female","6 - 9 years",0
"1900","Killed Casualties (Number)","2008","Car drivers","Female","6 - 9 years",0
"1901","Injured Cassualties (Number)","2008","Car drivers","Female","6 - 9 years",0
"1902","All Killed and Injured Casualties (Number)","2008","Car drivers","Female","6 - 9 years",0
"1903","Killed Casualties (Number)","2009","Car drivers","Female","6 - 9 years",0
"1904","Injured Cassualties (Number)","2009","Car drivers","Female","6 - 9 years",0
"1905","All Killed and Injured Casualties (Number)","2009","Car drivers","Female","6 - 9 years",0
"1906","Killed Casualties (Number)","2010","Car drivers","Female","6 - 9 years",0
"1907","Injured Cassualties (Number)","2010","Car drivers","Female","6 - 9 years",0
"1908","All Killed and Injured Casualties (Number)","2010","Car drivers","Female","6 - 9 years",0
"1909","Killed Casualties (Number)","2011","Car drivers","Female","6 - 9 years",0
"1910","Injured Cassualties (Number)","2011","Car drivers","Female","6 - 9 years",0
"1911","All Killed and Injured Casualties (Number)","2011","Car drivers","Female","6 - 9 years",0
"1912","Killed Casualties (Number)","2012","Car drivers","Female","6 - 9 years",0
"1913","Injured Cassualties (Number)","2012","Car drivers","Female","6 - 9 years",0
"1914","All Killed and Injured Casualties (Number)","2012","Car drivers","Female","6 - 9 years",0
"1915","Killed Casualties (Number)","2013","Car drivers","Female","6 - 9 years",0
"1916","Injured Cassualties (Number)","2013","Car drivers","Female","6 - 9 years",0
"1917","All Killed and Injured Casualties (Number)","2013","Car drivers","Female","6 - 9 years",0
"1918","Killed Casualties (Number)","2014","Car drivers","Female","6 - 9 years",0
"1919","Injured Cassualties (Number)","2014","Car drivers","Female","6 - 9 years",0
"1920","All Killed and Injured Casualties (Number)","2014","Car drivers","Female","6 - 9 years",0
"1921","Killed Casualties (Number)","2015","Car drivers","Female","6 - 9 years",0
"1922","Injured Cassualties (Number)","2015","Car drivers","Female","6 - 9 years",0
"1923","All Killed and Injured Casualties (Number)","2015","Car drivers","Female","6 - 9 years",0
"1924","Killed Casualties (Number)","2016","Car drivers","Female","6 - 9 years",0
"1925","Injured Cassualties (Number)","2016","Car drivers","Female","6 - 9 years",0
"1926","All Killed and Injured Casualties (Number)","2016","Car drivers","Female","6 - 9 years",0
"1927","Killed Casualties (Number)","2017","Car drivers","Female","6 - 9 years",0
"1928","Injured Cassualties (Number)","2017","Car drivers","Female","6 - 9 years",0
"1929","All Killed and Injured Casualties (Number)","2017","Car drivers","Female","6 - 9 years",0
"1930","Killed Casualties (Number)","2018","Car drivers","Female","6 - 9 years",0
"1931","Injured Cassualties (Number)","2018","Car drivers","Female","6 - 9 years",0
"1932","All Killed and Injured Casualties (Number)","2018","Car drivers","Female","6 - 9 years",0
"1933","Killed Casualties (Number)","2005","Car passengers","Female","6 - 9 years",0
"1934","Injured Cassualties (Number)","2005","Car passengers","Female","6 - 9 years",37
"1935","All Killed and Injured Casualties (Number)","2005","Car passengers","Female","6 - 9 years",37
"1936","Killed Casualties (Number)","2006","Car passengers","Female","6 - 9 years",1
"1937","Injured Cassualties (Number)","2006","Car passengers","Female","6 - 9 years",41
"1938","All Killed and Injured Casualties (Number)","2006","Car passengers","Female","6 - 9 years",42
"1939","Killed Casualties (Number)","2007","Car passengers","Female","6 - 9 years",1
"1940","Injured Cassualties (Number)","2007","Car passengers","Female","6 - 9 years",36
"1941","All Killed and Injured Casualties (Number)","2007","Car passengers","Female","6 - 9 years",37
"1942","Killed Casualties (Number)","2008","Car passengers","Female","6 - 9 years",1
"1943","Injured Cassualties (Number)","2008","Car passengers","Female","6 - 9 years",55
"1944","All Killed and Injured Casualties (Number)","2008","Car passengers","Female","6 - 9 years",56
"1945","Killed Casualties (Number)","2009","Car passengers","Female","6 - 9 years",0
"1946","Injured Cassualties (Number)","2009","Car passengers","Female","6 - 9 years",65
"1947","All Killed and Injured Casualties (Number)","2009","Car passengers","Female","6 - 9 years",65
"1948","Killed Casualties (Number)","2010","Car passengers","Female","6 - 9 years",0
"1949","Injured Cassualties (Number)","2010","Car passengers","Female","6 - 9 years",51
"1950","All Killed and Injured Casualties (Number)","2010","Car passengers","Female","6 - 9 years",51
"1951","Killed Casualties (Number)","2011","Car passengers","Female","6 - 9 years",0
"1952","Injured Cassualties (Number)","2011","Car passengers","Female","6 - 9 years",49
"1953","All Killed and Injured Casualties (Number)","2011","Car passengers","Female","6 - 9 years",49
"1954","Killed Casualties (Number)","2012","Car passengers","Female","6 - 9 years",0
"1955","Injured Cassualties (Number)","2012","Car passengers","Female","6 - 9 years",48
"1956","All Killed and Injured Casualties (Number)","2012","Car passengers","Female","6 - 9 years",48
"1957","Killed Casualties (Number)","2013","Car passengers","Female","6 - 9 years",0
"1958","Injured Cassualties (Number)","2013","Car passengers","Female","6 - 9 years",39
"1959","All Killed and Injured Casualties (Number)","2013","Car passengers","Female","6 - 9 years",39
"1960","Killed Casualties (Number)","2014","Car passengers","Female","6 - 9 years",1
"1961","Injured Cassualties (Number)","2014","Car passengers","Female","6 - 9 years",53
"1962","All Killed and Injured Casualties (Number)","2014","Car passengers","Female","6 - 9 years",54
"1963","Killed Casualties (Number)","2015","Car passengers","Female","6 - 9 years",0
"1964","Injured Cassualties (Number)","2015","Car passengers","Female","6 - 9 years",46
"1965","All Killed and Injured Casualties (Number)","2015","Car passengers","Female","6 - 9 years",46
"1966","Killed Casualties (Number)","2016","Car passengers","Female","6 - 9 years",0
"1967","Injured Cassualties (Number)","2016","Car passengers","Female","6 - 9 years",44
"1968","All Killed and Injured Casualties (Number)","2016","Car passengers","Female","6 - 9 years",44
"1969","Killed Casualties (Number)","2017","Car passengers","Female","6 - 9 years",0
"1970","Injured Cassualties (Number)","2017","Car passengers","Female","6 - 9 years",57
"1971","All Killed and Injured Casualties (Number)","2017","Car passengers","Female","6 - 9 years",57
"1972","Killed Casualties (Number)","2018","Car passengers","Female","6 - 9 years",0
"1973","Injured Cassualties (Number)","2018","Car passengers","Female","6 - 9 years",52
"1974","All Killed and Injured Casualties (Number)","2018","Car passengers","Female","6 - 9 years",52
"1975","Killed Casualties (Number)","2005","Other road users","Female","6 - 9 years",0
"1976","Injured Cassualties (Number)","2005","Other road users","Female","6 - 9 years",3
"1977","All Killed and Injured Casualties (Number)","2005","Other road users","Female","6 - 9 years",3
"1978","Killed Casualties (Number)","2006","Other road users","Female","6 - 9 years",0
"1979","Injured Cassualties (Number)","2006","Other road users","Female","6 - 9 years",7
"1980","All Killed and Injured Casualties (Number)","2006","Other road users","Female","6 - 9 years",7
"1981","Killed Casualties (Number)","2007","Other road users","Female","6 - 9 years",0
"1982","Injured Cassualties (Number)","2007","Other road users","Female","6 - 9 years",2
"1983","All Killed and Injured Casualties (Number)","2007","Other road users","Female","6 - 9 years",2
"1984","Killed Casualties (Number)","2008","Other road users","Female","6 - 9 years",0
"1985","Injured Cassualties (Number)","2008","Other road users","Female","6 - 9 years",3
"1986","All Killed and Injured Casualties (Number)","2008","Other road users","Female","6 - 9 years",3
"1987","Killed Casualties (Number)","2009","Other road users","Female","6 - 9 years",0
"1988","Injured Cassualties (Number)","2009","Other road users","Female","6 - 9 years",5
"1989","All Killed and Injured Casualties (Number)","2009","Other road users","Female","6 - 9 years",5
"1990","Killed Casualties (Number)","2010","Other road users","Female","6 - 9 years",0
"1991","Injured Cassualties (Number)","2010","Other road users","Female","6 - 9 years",1
"1992","All Killed and Injured Casualties (Number)","2010","Other road users","Female","6 - 9 years",1
"1993","Killed Casualties (Number)","2011","Other road users","Female","6 - 9 years",0
"1994","Injured Cassualties (Number)","2011","Other road users","Female","6 - 9 years",0
"1995","All Killed and Injured Casualties (Number)","2011","Other road users","Female","6 - 9 years",0
"1996","Killed Casualties (Number)","2012","Other road users","Female","6 - 9 years",0
"1997","Injured Cassualties (Number)","2012","Other road users","Female","6 - 9 years",0
"1998","All Killed and Injured Casualties (Number)","2012","Other road users","Female","6 - 9 years",0
"1999","Killed Casualties (Number)","2013","Other road users","Female","6 - 9 years",1
"2000","Injured Cassualties (Number)","2013","Other road users","Female","6 - 9 years",3
"2001","All Killed and Injured Casualties (Number)","2013","Other road users","Female","6 - 9 years",4
"2002","Killed Casualties (Number)","2014","Other road users","Female","6 - 9 years",0
"2003","Injured Cassualties (Number)","2014","Other road users","Female","6 - 9 years",0
"2004","All Killed and Injured Casualties (Number)","2014","Other road users","Female","6 - 9 years",0
"2005","Killed Casualties (Number)","2015","Other road users","Female","6 - 9 years",0
"2006","Injured Cassualties (Number)","2015","Other road users","Female","6 - 9 years",4
"2007","All Killed and Injured Casualties (Number)","2015","Other road users","Female","6 - 9 years",4
"2008","Killed Casualties (Number)","2016","Other road users","Female","6 - 9 years",0
"2009","Injured Cassualties (Number)","2016","Other road users","Female","6 - 9 years",1
"2010","All Killed and Injured Casualties (Number)","2016","Other road users","Female","6 - 9 years",1
"2011","Killed Casualties (Number)","2017","Other road users","Female","6 - 9 years",0
"2012","Injured Cassualties (Number)","2017","Other road users","Female","6 - 9 years",4
"2013","All Killed and Injured Casualties (Number)","2017","Other road users","Female","6 - 9 years",4
"2014","Killed Casualties (Number)","2018","Other road users","Female","6 - 9 years",0
"2015","Injured Cassualties (Number)","2018","Other road users","Female","6 - 9 years",3
"2016","All Killed and Injured Casualties (Number)","2018","Other road users","Female","6 - 9 years",3
"2017","Killed Casualties (Number)","2005","All road users","Male","10 - 14 years",4
"2018","Injured Cassualties (Number)","2005","All road users","Male","10 - 14 years",135
"2019","All Killed and Injured Casualties (Number)","2005","All road users","Male","10 - 14 years",139
"2020","Killed Casualties (Number)","2006","All road users","Male","10 - 14 years",1
"2021","Injured Cassualties (Number)","2006","All road users","Male","10 - 14 years",120
"2022","All Killed and Injured Casualties (Number)","2006","All road users","Male","10 - 14 years",121
"2023","Killed Casualties (Number)","2007","All road users","Male","10 - 14 years",5
"2024","Injured Cassualties (Number)","2007","All road users","Male","10 - 14 years",132
"2025","All Killed and Injured Casualties (Number)","2007","All road users","Male","10 - 14 years",137
"2026","Killed Casualties (Number)","2008","All road users","Male","10 - 14 years",6
"2027","Injured Cassualties (Number)","2008","All road users","Male","10 - 14 years",175
"2028","All Killed and Injured Casualties (Number)","2008","All road users","Male","10 - 14 years",181
"2029","Killed Casualties (Number)","2009","All road users","Male","10 - 14 years",2
"2030","Injured Cassualties (Number)","2009","All road users","Male","10 - 14 years",178
"2031","All Killed and Injured Casualties (Number)","2009","All road users","Male","10 - 14 years",180
"2032","Killed Casualties (Number)","2010","All road users","Male","10 - 14 years",0
"2033","Injured Cassualties (Number)","2010","All road users","Male","10 - 14 years",159
"2034","All Killed and Injured Casualties (Number)","2010","All road users","Male","10 - 14 years",159
"2035","Killed Casualties (Number)","2011","All road users","Male","10 - 14 years",1
"2036","Injured Cassualties (Number)","2011","All road users","Male","10 - 14 years",149
"2037","All Killed and Injured Casualties (Number)","2011","All road users","Male","10 - 14 years",150
"2038","Killed Casualties (Number)","2012","All road users","Male","10 - 14 years",0
"2039","Injured Cassualties (Number)","2012","All road users","Male","10 - 14 years",156
"2040","All Killed and Injured Casualties (Number)","2012","All road users","Male","10 - 14 years",156
"2041","Killed Casualties (Number)","2013","All road users","Male","10 - 14 years",1
"2042","Injured Cassualties (Number)","2013","All road users","Male","10 - 14 years",149
"2043","All Killed and Injured Casualties (Number)","2013","All road users","Male","10 - 14 years",150
"2044","Killed Casualties (Number)","2014","All road users","Male","10 - 14 years",2
"2045","Injured Cassualties (Number)","2014","All road users","Male","10 - 14 years",195
"2046","All Killed and Injured Casualties (Number)","2014","All road users","Male","10 - 14 years",197
"2047","Killed Casualties (Number)","2015","All road users","Male","10 - 14 years",1
"2048","Injured Cassualties (Number)","2015","All road users","Male","10 - 14 years",163
"2049","All Killed and Injured Casualties (Number)","2015","All road users","Male","10 - 14 years",164
"2050","Killed Casualties (Number)","2016","All road users","Male","10 - 14 years",7
"2051","Injured Cassualties (Number)","2016","All road users","Male","10 - 14 years",152
"2052","All Killed and Injured Casualties (Number)","2016","All road users","Male","10 - 14 years",163
"2053","Killed Casualties (Number)","2017","All road users","Male","10 - 14 years",0
"2054","Injured Cassualties (Number)","2017","All road users","Male","10 - 14 years",164
"2055","All Killed and Injured Casualties (Number)","2017","All road users","Male","10 - 14 years",164
"2056","Killed Casualties (Number)","2018","All road users","Male","10 - 14 years",2
"2057","Injured Cassualties (Number)","2018","All road users","Male","10 - 14 years",157
"2058","All Killed and Injured Casualties (Number)","2018","All road users","Male","10 - 14 years",159
"2059","Killed Casualties (Number)","2005","Pedestrians","Male","10 - 14 years",3
"2060","Injured Cassualties (Number)","2005","Pedestrians","Male","10 - 14 years",49
"2061","All Killed and Injured Casualties (Number)","2005","Pedestrians","Male","10 - 14 years",52
"2062","Killed Casualties (Number)","2006","Pedestrians","Male","10 - 14 years",0
"2063","Injured Cassualties (Number)","2006","Pedestrians","Male","10 - 14 years",44
"2064","All Killed and Injured Casualties (Number)","2006","Pedestrians","Male","10 - 14 years",44
"2065","Killed Casualties (Number)","2007","Pedestrians","Male","10 - 14 years",3
"2066","Injured Cassualties (Number)","2007","Pedestrians","Male","10 - 14 years",41
"2067","All Killed and Injured Casualties (Number)","2007","Pedestrians","Male","10 - 14 years",44
"2068","Killed Casualties (Number)","2008","Pedestrians","Male","10 - 14 years",3
"2069","Injured Cassualties (Number)","2008","Pedestrians","Male","10 - 14 years",70
"2070","All Killed and Injured Casualties (Number)","2008","Pedestrians","Male","10 - 14 years",73
"2071","Killed Casualties (Number)","2009","Pedestrians","Male","10 - 14 years",0
"2072","Injured Cassualties (Number)","2009","Pedestrians","Male","10 - 14 years",58
"2073","All Killed and Injured Casualties (Number)","2009","Pedestrians","Male","10 - 14 years",58
"2074","Killed Casualties (Number)","2010","Pedestrians","Male","10 - 14 years",0
"2075","Injured Cassualties (Number)","2010","Pedestrians","Male","10 - 14 years",53
"2076","All Killed and Injured Casualties (Number)","2010","Pedestrians","Male","10 - 14 years",53
"2077","Killed Casualties (Number)","2011","Pedestrians","Male","10 - 14 years",1
"2078","Injured Cassualties (Number)","2011","Pedestrians","Male","10 - 14 years",51
"2079","All Killed and Injured Casualties (Number)","2011","Pedestrians","Male","10 - 14 years",52
"2080","Killed Casualties (Number)","2012","Pedestrians","Male","10 - 14 years",0
"2081","Injured Cassualties (Number)","2012","Pedestrians","Male","10 - 14 years",54
"2082","All Killed and Injured Casualties (Number)","2012","Pedestrians","Male","10 - 14 years",54
"2083","Killed Casualties (Number)","2013","Pedestrians","Male","10 - 14 years",0
"2084","Injured Cassualties (Number)","2013","Pedestrians","Male","10 - 14 years",49
"2085","All Killed and Injured Casualties (Number)","2013","Pedestrians","Male","10 - 14 years",49
"2086","Killed Casualties (Number)","2014","Pedestrians","Male","10 - 14 years",2
"2087","Injured Cassualties (Number)","2014","Pedestrians","Male","10 - 14 years",60
"2088","All Killed and Injured Casualties (Number)","2014","Pedestrians","Male","10 - 14 years",62
"2089","Killed Casualties (Number)","2015","Pedestrians","Male","10 - 14 years",0
"2090","Injured Cassualties (Number)","2015","Pedestrians","Male","10 - 14 years",59
"2091","All Killed and Injured Casualties (Number)","2015","Pedestrians","Male","10 - 14 years",59
"2092","Killed Casualties (Number)","2016","Pedestrians","Male","10 - 14 years",2
"2093","Injured Cassualties (Number)","2016","Pedestrians","Male","10 - 14 years",49
"2094","All Killed and Injured Casualties (Number)","2016","Pedestrians","Male","10 - 14 years",51
"2095","Killed Casualties (Number)","2017","Pedestrians","Male","10 - 14 years",0
"2096","Injured Cassualties (Number)","2017","Pedestrians","Male","10 - 14 years",55
"2097","All Killed and Injured Casualties (Number)","2017","Pedestrians","Male","10 - 14 years",55
"2098","Killed Casualties (Number)","2018","Pedestrians","Male","10 - 14 years",0
"2099","Injured Cassualties (Number)","2018","Pedestrians","Male","10 - 14 years",43
"2100","All Killed and Injured Casualties (Number)","2018","Pedestrians","Male","10 - 14 years",43
"2101","Killed Casualties (Number)","2005","Pedal cyclists","Male","10 - 14 years",0
"2102","Injured Cassualties (Number)","2005","Pedal cyclists","Male","10 - 14 years",12
"2103","All Killed and Injured Casualties (Number)","2005","Pedal cyclists","Male","10 - 14 years",12
"2104","Killed Casualties (Number)","2006","Pedal cyclists","Male","10 - 14 years",0
"2105","Injured Cassualties (Number)","2006","Pedal cyclists","Male","10 - 14 years",18
"2106","All Killed and Injured Casualties (Number)","2006","Pedal cyclists","Male","10 - 14 years",18
"2107","Killed Casualties (Number)","2007","Pedal cyclists","Male","10 - 14 years",2
"2108","Injured Cassualties (Number)","2007","Pedal cyclists","Male","10 - 14 years",26
"2109","All Killed and Injured Casualties (Number)","2007","Pedal cyclists","Male","10 - 14 years",28
"2110","Killed Casualties (Number)","2008","Pedal cyclists","Male","10 - 14 years",1
"2111","Injured Cassualties (Number)","2008","Pedal cyclists","Male","10 - 14 years",19
"2112","All Killed and Injured Casualties (Number)","2008","Pedal cyclists","Male","10 - 14 years",20
"2113","Killed Casualties (Number)","2009","Pedal cyclists","Male","10 - 14 years",2
"2114","Injured Cassualties (Number)","2009","Pedal cyclists","Male","10 - 14 years",29
"2115","All Killed and Injured Casualties (Number)","2009","Pedal cyclists","Male","10 - 14 years",31
"2116","Killed Casualties (Number)","2010","Pedal cyclists","Male","10 - 14 years",0
"2117","Injured Cassualties (Number)","2010","Pedal cyclists","Male","10 - 14 years",28
"2118","All Killed and Injured Casualties (Number)","2010","Pedal cyclists","Male","10 - 14 years",28
"2119","Killed Casualties (Number)","2011","Pedal cyclists","Male","10 - 14 years",0
"2120","Injured Cassualties (Number)","2011","Pedal cyclists","Male","10 - 14 years",25
"2121","All Killed and Injured Casualties (Number)","2011","Pedal cyclists","Male","10 - 14 years",25
"2122","Killed Casualties (Number)","2012","Pedal cyclists","Male","10 - 14 years",0
"2123","Injured Cassualties (Number)","2012","Pedal cyclists","Male","10 - 14 years",31
"2124","All Killed and Injured Casualties (Number)","2012","Pedal cyclists","Male","10 - 14 years",31
"2125","Killed Casualties (Number)","2013","Pedal cyclists","Male","10 - 14 years",0
"2126","Injured Cassualties (Number)","2013","Pedal cyclists","Male","10 - 14 years",31
"2127","All Killed and Injured Casualties (Number)","2013","Pedal cyclists","Male","10 - 14 years",31
"2128","Killed Casualties (Number)","2014","Pedal cyclists","Male","10 - 14 years",0
"2129","Injured Cassualties (Number)","2014","Pedal cyclists","Male","10 - 14 years",39
"2130","All Killed and Injured Casualties (Number)","2014","Pedal cyclists","Male","10 - 14 years",39
"2131","Killed Casualties (Number)","2015","Pedal cyclists","Male","10 - 14 years",0
"2132","Injured Cassualties (Number)","2015","Pedal cyclists","Male","10 - 14 years",42
"2133","All Killed and Injured Casualties (Number)","2015","Pedal cyclists","Male","10 - 14 years",42
"2134","Killed Casualties (Number)","2016","Pedal cyclists","Male","10 - 14 years",2
"2135","Injured Cassualties (Number)","2016","Pedal cyclists","Male","10 - 14 years",37
"2136","All Killed and Injured Casualties (Number)","2016","Pedal cyclists","Male","10 - 14 years",39
"2137","Killed Casualties (Number)","2017","Pedal cyclists","Male","10 - 14 years",0
"2138","Injured Cassualties (Number)","2017","Pedal cyclists","Male","10 - 14 years",42
"2139","All Killed and Injured Casualties (Number)","2017","Pedal cyclists","Male","10 - 14 years",42
"2140","Killed Casualties (Number)","2018","Pedal cyclists","Male","10 - 14 years",0
"2141","Injured Cassualties (Number)","2018","Pedal cyclists","Male","10 - 14 years",39
"2142","All Killed and Injured Casualties (Number)","2018","Pedal cyclists","Male","10 - 14 years",39
"2143","Killed Casualties (Number)","2005","Motor cyclists","Male","10 - 14 years",0
"2144","Injured Cassualties (Number)","2005","Motor cyclists","Male","10 - 14 years",1
"2145","All Killed and Injured Casualties (Number)","2005","Motor cyclists","Male","10 - 14 years",1
